"zone","wind_speed","wind_dir","temp","rh","dewpoint","pressure","radiation","soil"
"Alona_11.11.19_1010_E",2.726,70.4,27.92,17.08,1.001,998.081,655.29,39.21
"Alona_11.11.19_1010_W",2.726,70.4,27.92,17.08,1.001,998.081,655.29,39.21
"Alona_11.11.19_1100_E",3.565,85.1,29.01,16,0.968,997.356,713.82,38.35
"Alona_11.11.19_1100_W",3.565,85.1,29.01,16,0.968,997.356,713.82,38.35
"Alona_11.11.19_1150_E",2.798,86.9,30.34,15.06,1.386,996.655,713.12,41.52
"Alona_11.11.19_1150_W",2.798,86.9,30.34,15.06,1.386,996.655,713.12,41.52
"Alona_11.11.19_1250_E",3.046,85.7,30.74,15,1.504,996.09,646.05,40.23
"Alona_11.11.19_1250_W",3.046,85.7,30.74,15,1.504,996.09,646.05,40.23
"Alona_11.11.19_1350_E",2.697,90.5,31.03,14.07,1.019,995.765,513.97,38.23
"Alona_11.11.19_1350_W",2.697,90.5,31.03,14.07,1.019,995.765,513.97,38.23
"Alona_11.11.19_1450_E",2.173,98.3,30.76,13.54,0.141,995.624,331.31,33.38
"Alona_11.11.19_1450_W",2.173,98.3,30.76,13.54,0.141,995.624,331.31,33.38
"Alona_11.11.19_1550_E",0.764,46.47,30.46,14.09,0.48,995.5,127.62,28.62
"Alona_11.11.19_1550_W",0.764,46.47,30.46,14.09,0.48,995.5,127.62,28.62
"Alona_11.11.19_1650_E",0.85,31.8,26.7,25.06,5.3,995.335,3.16,20.89
"Alona_11.11.19_1650_W",0.85,31.8,26.7,25.06,5.3,995.335,3.16,20.89
"Alona_12.9.19_0940_E",1.926,262.9,28.72,55.83,19.14,995.604,865.37,42.5
"Alona_12.9.19_0940_W",1.926,262.9,28.72,55.83,19.14,995.604,865.37,42.5
"Alona_12.9.19_1100_E",1.957,274.7,29.31,55.36,19.55,995.303,603.91,41.54
"Alona_12.9.19_1100_W",1.957,274.7,29.31,55.36,19.55,995.303,603.91,41.54
"Alona_12.9.19_1200_E",2.162,268.1,30.05,53.93,19.81,995.014,950.49,48.23
"Alona_12.9.19_1200_W",2.162,268.1,30.05,53.93,19.81,995.014,950.49,48.23
"Alona_12.9.19_1330_E",2.617,279,29.6,56.16,20.05,994.519,849.67,46.24
"Alona_12.9.19_1330_W",2.617,279,29.6,56.16,20.05,994.519,849.67,46.24
"Alona_12.9.19_1440_E",2.566,286.5,29.48,56.16,19.95,994.037,666.37,42.97
"Alona_12.9.19_1440_W",2.566,286.5,29.48,56.16,19.95,994.037,666.37,42.97
"Alona_12.9.19_1600_E",2.247,288.4,28.89,59.1,20.19,993.6,401.77,38.38
"Alona_12.9.19_1600_W",2.247,288.4,28.89,59.1,20.19,993.6,401.77,38.38
"Alona_12.9.19_1650_E",2.818,309.7,27.48,63.38,20.01,993.57,178.16,32.53
"Alona_12.9.19_1650_W",2.818,309.7,27.48,63.38,20.01,993.57,178.16,32.53
"Alona_12.9.19_1730_E",1.51,280,26.42,68.54,20.22,993.501,33.34,28.59
"Alona_12.9.19_1730_W",1.51,280,26.42,68.54,20.22,993.501,33.34,28.59
"Alona_17.7.19_0900_NW",2.512,178.4,36.14,26.15,13.91,985.078,707.17,44.26
"Alona_17.7.19_0900_SW",2.512,178.4,36.14,26.15,13.91,985.078,707.17,44.26
"Alona_2.7.19_0920",1.697,308.2,29.05,54.7,19.13,991.713,822.83,45.43
"Alona_2.7.19_1250_E",2.012,281.8,30.22,55.44,20.44,991.495,1010.33,51.57
"Alona_2.7.19_1250_W",2.012,281.8,30.22,55.44,20.44,991.495,1010.33,51.57
"Alona_2.7.19_1340_E",1.818,284.3,30.42,53.05,19.91,991.426,943.39,51.63
