"map","wind_speed","wind_dir","air_temp","rh","dewpoint","pressure","radiation","ground_temp","flight_no","dsm","rgb","ir","dtm"
"Zeelim_12.04.21_1118",4.949,131.9,21.93,39.22,7.648,1049.935,1021.47,28.76,"196","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0196/3_dsm_ortho/1_dsm/IX-12-11646_0196_dsm.tif","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0196/3_dsm_ortho/2_mosaic/IX-12-11646_0196_transparent_mosaic_group1.tif","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0196/4_index/indices/thermal_ir/IX-12-11646_0196_index_thermal_ir.tif","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0196/3_dsm_ortho/extras/dtm/IX-12-11646_0196_dtm.tif"
"Zeelim_18.9.19_0900",3.94,28.56,30.84,44.74,17.57,1042.533,635.44,38.35,"68","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0068/3_dsm_ortho/1_dsm/IX-12-11646_0068_dsm.tif","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0068/3_dsm_ortho/2_mosaic/IX-12-11646_0068_transparent_mosaic_group1.tif","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0068/4_index/indices/thermal_ir/IX-12-11646_0068_index_thermal_ir.tif","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0068/3_dsm_ortho/extras/dtm/IX-12-11646_0068_dtm.tif"
"Zeelim_18.9.19_1200",2.193,28.04,34.03,37.04,17.49,1040.165,853.94,50.29,"69","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0069/3_dsm_ortho/1_dsm/IX-12-11646_0069_dsm.tif","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0069/3_dsm_ortho/2_mosaic/IX-12-11646_0069_transparent_mosaic_group1.tif","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0069/4_index/indices/thermal_ir/IX-12-11646_0069_index_thermal_ir.tif","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0069/3_dsm_ortho/extras/dtm/IX-12-11646_0069_dtm.tif"
"Zeelim_18.9.19_1400",1.907,155.3,37.04,27.84,15.68,1038.664,663.46,50.1,"71","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0071/3_dsm_ortho/1_dsm/IX-12-11646_0071_dsm.tif","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0071/3_dsm_ortho/2_mosaic/IX-12-11646_0071_transparent_mosaic_group1.tif","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0071/4_index/indices/thermal_ir/IX-12-11646_0071_index_thermal_ir.tif","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0071/3_dsm_ortho/extras/dtm/IX-12-11646_0071_dtm.tif"
"Zeelim_18.9.19_1500",1.226,139.7,37.75,27,15.85,1038.1,485.48,47.55,"72","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0072/3_dsm_ortho/1_dsm/IX-12-11646_0072_dsm.tif","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0072/3_dsm_ortho/2_mosaic/IX-12-11646_0072_transparent_mosaic_group1.tif","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0072/4_index/indices/thermal_ir/IX-12-11646_0072_index_thermal_ir.tif","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0072/3_dsm_ortho/extras/dtm/IX-12-11646_0072_dtm.tif"
"Zeelim_18.9.19_1720",1.177,155,37.46,24.48,14.11,1037.955,30.11,36.45,"73","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0073/3_dsm_ortho/1_dsm/IX-12-11646_0073_dsm.tif","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0073/3_dsm_ortho/2_mosaic/IX-12-11646_0073_transparent_mosaic_group1.tif","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0073/4_index/indices/thermal_ir/IX-12-11646_0073_index_thermal_ir.tif","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0073/3_dsm_ortho/extras/dtm/IX-12-11646_0073_dtm.tif"
"Zeelim_23.9.19_0610",1.518,290.4,28.3,42.25,14.41,1042.808,113.83,25.94,"74","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0074/3_dsm_ortho/1_dsm/IX-12-11646_0074_dsm.tif","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0074/3_dsm_ortho/2_mosaic/IX-12-11646_0074_transparent_mosaic_group1.tif","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0074/4_index/indices/thermal_ir/IX-12-11646_0074_index_thermal_ir.tif","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0074/3_dsm_ortho/extras/dtm/IX-12-11646_0074_dtm.tif"
"Zeelim_23.9.19_0700",0.477,351.4,30.51,39,15.24,1043.162,294.43,30.52,"75","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0075/3_dsm_ortho/1_dsm/IX-12-11646_0075_dsm.tif","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0075/3_dsm_ortho/2_mosaic/IX-12-11646_0075_transparent_mosaic_group1.tif","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0075/4_index/indices/thermal_ir/IX-12-11646_0075_index_thermal_ir.tif","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0075/3_dsm_ortho/extras/dtm/IX-12-11646_0075_dtm.tif"
"Zeelim_23.9.19_0800",1.47,32.02,31.16,43.34,17.37,1043.438,525.07,36.3,"76","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0076/3_dsm_ortho/1_dsm/IX-12-11646_0076_dsm.tif","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0076/3_dsm_ortho/2_mosaic/IX-12-11646_0076_transparent_mosaic_group1.tif","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0076/4_index/indices/thermal_ir/IX-12-11646_0076_index_thermal_ir.tif","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0076/3_dsm_ortho/extras/dtm/IX-12-11646_0076_dtm.tif"
"Zeelim_23.9.19_1410",2.19,38.5,36.44,27.03,14.79,1039.992,632.62,48.2,"79","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0079/3_dsm_ortho/1_dsm/IX-12-11646_0079_dsm.tif","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0079/3_dsm_ortho/2_mosaic/IX-12-11646_0079_transparent_mosaic_group1.tif","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0079/4_index/indices/thermal_ir/IX-12-11646_0079_index_thermal_ir.tif","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0079/3_dsm_ortho/extras/dtm/IX-12-11646_0079_dtm.tif"
"Zeelim_23.9.19_1510",1.733,8.19,36.52,27.42,15.01,1039.802,420.88,45.21,"80","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0080/3_dsm_ortho/1_dsm/IX-12-11646_0080_dsm.tif","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0080/3_dsm_ortho/2_mosaic/IX-12-11646_0080_transparent_mosaic_group1.tif","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0080/4_index/indices/thermal_ir/IX-12-11646_0080_index_thermal_ir.tif","/big_data/idan/dtm_maps/IX-12-11646_0080/dsm_ortho/extras/dtm/IX-12-11646_0080_dtm.tif"
"Zeelim_23.9.19_1610",1.522,349.9,36.98,25,14.07,1039.7,208.67,40.85,"81","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0081/3_dsm_ortho/1_dsm/IX-12-11646_0081_dsm.tif","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0081/3_dsm_ortho/2_mosaic/IX-12-11646_0081_transparent_mosaic_group1.tif","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0081/4_index/indices/thermal_ir/IX-12-11646_0081_index_thermal_ir.tif","/big_data/idan/dtm_maps/IX-12-11646_0081/dsm_ortho/extras/dtm/IX-12-11646_0081_dtm.tif"
"Zeelim_29.5.19_0830",2.348,36.07,29.95,48.29,17.99,1041.111,702.16,38.84,"11","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0011/3_dsm_ortho/1_dsm/IX-12-11646_0011_dsm.tif","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0011/3_dsm_ortho/2_mosaic/IX-12-11646_0011_transparent_mosaic_group1.tif","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0011/4_index/indices/thermal_ir/IX-12-11646_0011_index_thermal_ir.tif","/data/pix4d_results_for_downscaling/pix4d_results/IX-12-11646_0011/3_dsm_ortho/extras/dtm/IX-12-11646_0011_dtm.tif"
