zone,wind_speed,wind_dir,air_temp,rh,dewpoint,pressure,radiation,ground_temp,eBee,station.x,station.y,station - IR
Alona_11.11.19_1010,2.726,70.4,27.92,17.08,1.001,998.081,655.29,39.21,36.70161438,687055.2783,3605906.8,2.5083856199999985
Alona_11.11.19_1100,3.565,85.1,29.01,16.0,0.968,997.356,713.82,38.35,39.04827499,687055.2783,3605906.8,0.6982749900000016
Alona_11.11.19_1150,2.798,86.9,30.34,15.06,1.386,996.655,713.12,41.52,40.85965347,687055.2783,3605906.8,0.6603465300000053
Alona_11.11.19_1250,3.046,85.7,30.74,15.0,1.504,996.09,646.05,40.23,40.49450302,687055.2783,3605906.8,0.2645030200000065
Alona_11.11.19_1350,2.697,90.5,31.03,14.07,1.019,995.765,513.97,38.23,37.89798355,687055.2783,3605906.8,0.3320164499999976
Alona_11.11.19_1450,2.173,98.3,30.76,13.54,0.141,995.624,331.31,33.38,33.62947464,687055.2783,3605906.8,0.24947463999999542
Alona_11.11.19_1550,0.764,46.47,30.46,14.09,0.48,995.5,127.62,28.62,28.80312157,687055.2783,3605906.8,0.1831215699999973
Alona_11.11.19_1650,0.85,31.8,26.7,25.06,5.3,995.335,3.16,20.89,21.94334602,687055.2783,3605906.8,1.0533460199999993
Alona_12.9.19_0940,1.926,262.9,28.72,55.83,19.14,995.604,865.37,42.5,39.46813202,687042.8816,3605907.841,3.0318679800000012
Alona_12.9.19_1100,1.957,274.7,29.31,55.36,19.55,995.303,603.91,41.54,43.48870087,687042.8816,3605907.841,1.9487008700000032
Alona_12.9.19_1200,2.162,268.1,30.05,53.93,19.81,995.014,950.49,48.23,48.38530731,687042.8816,3605907.841,0.15530731000000486
Alona_12.9.19_1330,2.617,279.0,29.6,56.16,20.05,994.519,849.67,46.24,44.79272461,687042.8816,3605907.841,1.4472753900000015
Alona_12.9.19_1440,2.566,286.5,29.48,56.16,19.95,994.037,666.37,42.97,42.87696075,687042.8816,3605907.841,0.0930392499999968
Alona_12.9.19_1600,2.247,288.4,28.89,59.1,20.19,993.6,401.77,38.38,36.60972214,687042.8816,3605907.841,1.7702778600000002
Alona_12.9.19_1650,2.818,309.7,27.48,63.38,20.01,993.57,178.16,32.53,31.73234367,687042.8816,3605907.841,0.7976563300000024
Alona_12.9.19_1730,1.51,280.0,26.42,68.54,20.22,993.501,33.34,28.59,28.63149261,687042.8816,3605907.841,0.04149260999999882
Alona_13.12.20_0621,2.186,79.91,16.48,49.02,5.857,995.704,0.03,12.24,10.0,687178.9,3606490.49,2.24
Alona_13.12.20_0722,2.163,73.8,16.28,50.57,6.121,995.894,28.03,12.8,12.33,687178.9,3606490.49,0.47000000000000064
Alona_13.12.20_0840,1.126,11.79,17.44,53.21,7.924,996.429,139.01,15.01,11.81,687178.9,3606490.49,3.1999999999999993
Alona_13.12.20_0925,1.488,22.24,18.12,53.6,8.67,996.424,255.19,17.24,10.67,687178.9,3606490.49,6.5699999999999985
Alona_13.12.20_1110,1.345,41.18,19.83,51.58,9.7,995.4,195.68,17.94,16.84,687178.9,3606490.49,1.1000000000000014
Alona_13.12.20_1152,2.394,62.73,19.73,50.68,9.33,995.081,419.06,20.22,16.11,687178.9,3606490.49,4.109999999999999
